,sym,Date,Open,High,Low,Close,Vol
649,BTC/USDT,2021-10-11,54659.01,57839.04,54415.06,57471.35,52933.165751
650,BTC/USDT,2021-10-12,57471.35,57680.0,53879.0,55996.93,53471.2855
651,BTC/USDT,2021-10-13,55996.91,57777.0,54167.19,57367.0,55808.44492
652,BTC/USDT,2021-10-14,57370.83,58532.54,56818.05,57347.94,43053.336781
653,BTC/USDT,2021-10-15,57347.94,62933.0,56850.0,61672.42,82512.908022
654,BTC/USDT,2021-10-16,61672.42,62378.42,60150.0,60875.57,35467.88096
655,BTC/USDT,2021-10-17,60875.57,61718.39,58963.0,61528.33,39099.24124
656,BTC/USDT,2021-10-18,61528.32,62695.78,59844.45,62009.84,51798.44844
657,BTC/USDT,2021-10-19,62005.6,64486.0,61322.22,64280.59,53628.107744
658,BTC/USDT,2021-10-20,64280.59,67000.0,63481.4,66001.41,51428.934856
659,BTC/USDT,2021-10-21,66001.4,66639.74,62000.0,62193.15,68538.64537
660,BTC/USDT,2021-10-22,62193.15,63732.39,60000.0,60688.22,52119.35886
661,BTC/USDT,2021-10-23,60688.23,61747.64,59562.15,61286.75,27626.93678
662,BTC/USDT,2021-10-24,61286.75,61500.0,59510.63,60852.22,31226.57676
663,BTC/USDT,2021-10-25,60852.22,63710.63,60650.0,63078.78,36853.83806
664,BTC/USDT,2021-10-26,63078.78,63293.48,59817.55,60328.81,40217.50083
665,BTC/USDT,2021-10-27,60328.81,61496.0,58000.0,58413.44,62124.49016
666,BTC/USDT,2021-10-28,58413.44,62499.0,57820.0,60575.89,61056.35301
667,BTC/USDT,2021-10-29,60575.9,62980.0,60174.81,62253.71,43973.90414
668,BTC/USDT,2021-10-30,62253.7,62359.25,60673.0,61859.19,31478.12566
669,BTC/USDT,2021-10-31,61859.19,62405.3,59945.36,61299.8,39267.63794
670,BTC/USDT,2021-11-01,61299.81,62437.74,59405.0,60911.11,44687.66672
671,BTC/USDT,2021-11-02,60911.12,64270.0,60624.68,63219.99,46368.2841
672,BTC/USDT,2021-11-03,63220.57,63500.0,60382.76,62896.48,43336.09049
673,BTC/USDT,2021-11-04,62896.49,63086.31,60677.01,61395.01,35930.93314
674,BTC/USDT,2021-11-05,61395.01,62595.72,60721.0,60937.12,31604.48749
675,BTC/USDT,2021-11-06,60940.18,61560.49,60050.0,61470.61,25590.57408
676,BTC/USDT,2021-11-07,61470.62,63286.35,61322.78,63273.59,25515.6883
677,BTC/USDT,2021-11-08,63273.58,67789.0,63273.58,67525.83,54442.094554
678,BTC/USDT,2021-11-09,67525.82,68524.25,66222.4,66947.66,44661.378068
679,BTC/USDT,2021-11-10,66947.67,69000.0,62822.9,64882.43,65171.504046
680,BTC/USDT,2021-11-11,64882.42,65600.07,64100.0,64774.26,37237.98058
681,BTC/USDT,2021-11-12,64774.25,65450.7,62278.0,64122.23,44490.10816
682,BTC/USDT,2021-11-13,64122.22,65000.0,63360.22,64380.0,22504.97383
683,BTC/USDT,2021-11-14,64380.01,65550.51,63576.27,65519.1,25705.07347
684,BTC/USDT,2021-11-15,65519.11,66401.82,63400.0,63606.74,37829.37124
685,BTC/USDT,2021-11-16,63606.73,63617.31,58574.07,60058.87,77455.15609
686,BTC/USDT,2021-11-17,60058.87,60840.23,58373.0,60344.87,46289.38491
687,BTC/USDT,2021-11-18,60344.86,60976.0,56474.26,56891.62,62146.99931
688,BTC/USDT,2021-11-19,56891.62,58320.0,55600.0,58052.24,50715.88726
689,BTC/USDT,2021-11-20,58057.1,59845.0,57353.0,59707.51,33811.5901
690,BTC/USDT,2021-11-21,59707.52,60029.76,58486.65,58622.02,31902.22785
691,BTC/USDT,2021-11-22,58617.7,59444.0,55610.0,56247.18,51724.32047
692,BTC/USDT,2021-11-23,56243.83,58009.99,55317.0,57541.27,49917.85017
693,BTC/USDT,2021-11-24,57541.26,57735.0,55837.0,57138.29,39612.04964
694,BTC/USDT,2021-11-25,57138.29,59398.9,57000.0,58960.36,42153.51522
695,BTC/USDT,2021-11-26,58960.37,59150.0,53500.0,53726.53,65927.87066
696,BTC/USDT,2021-11-27,53723.72,55280.0,53610.0,54721.03,29716.99957
697,BTC/USDT,2021-11-28,54716.47,57445.05,53256.64,57274.88,36163.7137
698,BTC/USDT,2021-11-29,57274.89,58865.97,56666.67,57776.25,40125.28009
699,BTC/USDT,2021-11-30,57776.25,59176.99,55875.55,56950.56,49161.05194
700,BTC/USDT,2021-12-01,56950.56,59053.55,56458.01,57184.07,44956.63656
701,BTC/USDT,2021-12-02,57184.07,57375.47,55777.77,56480.34,37574.05976
702,BTC/USDT,2021-12-03,56484.26,57600.0,51680.0,53601.05,58927.69027
703,BTC/USDT,2021-12-04,53601.05,53859.1,42000.3,49152.47,114203.373748
704,BTC/USDT,2021-12-05,49152.46,49699.05,47727.21,49396.33,45580.82012
705,BTC/USDT,2021-12-06,49396.32,50891.11,47100.0,50441.92,58571.21575
706,BTC/USDT,2021-12-07,50441.91,51936.33,50039.74,50588.95,38253.46877
707,BTC/USDT,2021-12-08,50588.95,51200.0,48600.0,50471.19,38425.92466
708,BTC/USDT,2021-12-09,50471.19,50797.76,47320.0,47545.59,37692.68665
709,BTC/USDT,2021-12-10,47535.9,50125.0,46852.0,47140.54,44233.57391
710,BTC/USDT,2021-12-11,47140.54,49485.71,46751.0,49389.99,28889.19358
711,BTC/USDT,2021-12-12,49389.99,50777.0,48638.0,50053.9,26017.93421
712,BTC/USDT,2021-12-13,50053.9,50189.97,45672.75,46702.75,50869.52093
713,BTC/USDT,2021-12-14,46702.76,48700.41,46290.0,48343.28,39955.98445
714,BTC/USDT,2021-12-15,48336.95,49500.0,46547.0,48864.98,51629.181
715,BTC/USDT,2021-12-16,48864.98,49436.43,47511.0,47632.38,31949.86739
716,BTC/USDT,2021-12-17,47632.38,47995.96,45456.0,46131.2,43104.4887
717,BTC/USDT,2021-12-18,46133.83,47392.37,45500.0,46834.48,25020.05271
718,BTC/USDT,2021-12-19,46834.47,48300.01,46406.91,46681.23,29305.70665
719,BTC/USDT,2021-12-20,46681.24,47537.57,45558.85,46914.16,35848.50609
720,BTC/USDT,2021-12-21,46914.17,49328.96,46630.0,48889.88,37713.92924
721,BTC/USDT,2021-12-22,48887.59,49576.13,48421.87,48588.16,27004.2022
722,BTC/USDT,2021-12-23,48588.17,51375.0,47920.42,50838.81,35192.54046
723,BTC/USDT,2021-12-24,50838.82,51810.0,50384.43,50820.0,31684.84269
724,BTC/USDT,2021-12-25,50819.99,51156.23,50142.32,50399.66,19135.51613
725,BTC/USDT,2021-12-26,50399.67,51280.0,49412.0,50775.49,22569.88914
726,BTC/USDT,2021-12-27,50775.48,52088.0,50449.0,50701.44,28783.57561
727,BTC/USDT,2021-12-28,50701.44,50704.05,47313.01,47543.74,45853.33924
728,BTC/USDT,2021-12-29,47543.74,48139.08,46096.99,46464.66,39498.87
729,BTC/USDT,2021-12-30,46464.66,47900.0,45900.0,47120.87,30352.29569
730,BTC/USDT,2021-12-31,47120.88,48548.26,45678.0,46216.93,34937.99796
731,BTC/USDT,2022-01-01,46216.93,47954.63,46208.37,47722.65,19604.46325
732,BTC/USDT,2022-01-02,47722.66,47990.0,46654.0,47286.18,18340.4604
733,BTC/USDT,2022-01-03,47286.18,47570.0,45696.0,46446.1,27662.0771
734,BTC/USDT,2022-01-04,46446.1,47557.54,45500.0,45832.01,35491.4136
735,BTC/USDT,2022-01-05,45832.01,47070.0,42500.0,43451.13,51784.11857
736,BTC/USDT,2022-01-06,43451.14,43816.0,42430.58,43082.31,38880.37305
737,BTC/USDT,2022-01-07,43082.3,43145.83,40610.0,41566.48,54836.50818
738,BTC/USDT,2022-01-08,41566.48,42300.0,40501.0,41679.74,32952.73111
739,BTC/USDT,2022-01-09,41679.74,42786.7,41200.02,41864.62,22724.39426
740,BTC/USDT,2022-01-10,41864.62,42248.5,39650.0,41822.49,50729.17019
741,BTC/USDT,2022-01-11,41822.49,43100.0,41268.93,42729.29,37296.43729
742,BTC/USDT,2022-01-12,42729.29,44322.0,42450.0,43902.66,33943.2928
743,BTC/USDT,2022-01-13,43902.65,44500.0,42311.22,42560.11,34910.87762
744,BTC/USDT,2022-01-14,42558.35,43448.78,41725.95,43059.96,32640.88292
745,BTC/USDT,2022-01-15,43059.96,43800.0,42555.0,43084.29,21936.05616
746,BTC/USDT,2022-01-16,43084.29,43475.0,42581.79,43071.66,20602.35271
747,BTC/USDT,2022-01-17,43071.66,43176.18,41540.42,42201.62,27562.08613
748,BTC/USDT,2022-01-18,42201.63,42691.0,41250.0,42352.12,29324.08257
749,BTC/USDT,2022-01-19,42352.12,42559.13,41138.56,41660.01,31685.72159
750,BTC/USDT,2022-01-20,41660.0,43505.0,40553.31,40680.91,42330.33953
751,BTC/USDT,2022-01-21,40680.92,41100.0,35440.45,36445.31,88860.891999
752,BTC/USDT,2022-01-22,36445.31,36835.22,34008.0,35071.42,90471.338961
753,BTC/USDT,2022-01-23,35071.42,36499.0,34601.01,36244.55,44279.52354
754,BTC/USDT,2022-01-24,36244.55,37550.0,32917.17,36660.35,91904.753211
755,BTC/USDT,2022-01-25,36660.35,37545.14,35701.0,36958.32,49232.40183
756,BTC/USDT,2022-01-26,36958.32,38919.98,36234.63,36809.34,69830.16036
757,BTC/USDT,2022-01-27,36807.24,37234.47,35507.01,37160.1,53020.87934
758,BTC/USDT,2022-01-28,37160.11,38000.0,36155.01,37716.56,42154.26956
759,BTC/USDT,2022-01-29,37716.57,38720.74,37268.44,38166.84,26129.49682
760,BTC/USDT,2022-01-30,38166.83,38359.26,37351.63,37881.76,21430.66527
761,BTC/USDT,2022-01-31,37881.75,38744.0,36632.61,38466.9,36855.2458
762,BTC/USDT,2022-02-01,38466.9,39265.2,38000.0,38694.59,34574.44663
763,BTC/USDT,2022-02-02,38694.59,38855.92,36586.95,36896.36,35794.6813
764,BTC/USDT,2022-02-03,36896.37,37387.0,36250.0,37311.61,32081.10999
765,BTC/USDT,2022-02-04,37311.98,41772.33,37026.73,41574.25,64703.95874
766,BTC/USDT,2022-02-05,41571.7,41913.69,40843.01,41382.59,32532.34372
767,BTC/USDT,2022-02-06,41382.6,42656.0,41116.56,42380.87,22405.16704
768,BTC/USDT,2022-02-07,42380.87,44500.5,41645.85,43839.99,51060.62006
769,BTC/USDT,2022-02-08,43839.99,45492.0,42666.0,44042.99,64880.29387
770,BTC/USDT,2022-02-09,44043.0,44799.0,43117.92,44372.72,34428.16729
771,BTC/USDT,2022-02-10,44372.71,45821.0,43174.01,43495.44,62357.29091
772,BTC/USDT,2022-02-11,43495.44,43920.0,41938.51,42373.73,44975.1687
773,BTC/USDT,2022-02-12,42373.73,43079.49,41688.88,42217.87,26556.85681
774,BTC/USDT,2022-02-13,42217.87,42760.0,41870.0,42053.66,17732.08113
775,BTC/USDT,2022-02-14,42053.65,42842.4,41550.56,42535.94,34010.1306
776,BTC/USDT,2022-02-15,42535.94,44751.4,42427.03,44544.86,38095.19576
777,BTC/USDT,2022-02-16,44544.85,44549.97,43307.0,43873.56,28471.8727
778,BTC/USDT,2022-02-17,43873.56,44164.71,40073.21,40515.7,47245.99494
779,BTC/USDT,2022-02-18,40515.71,40959.88,39450.0,39974.44,43845.92241
780,BTC/USDT,2022-02-19,39974.45,40444.32,39639.03,40079.17,18042.0551
781,BTC/USDT,2022-02-20,40079.17,40125.44,38000.0,38386.89,33439.29011
782,BTC/USDT,2022-02-21,38386.89,39494.35,36800.0,37008.16,62347.68496
783,BTC/USDT,2022-02-22,37008.16,38429.0,36350.0,38230.33,53785.94589
784,BTC/USDT,2022-02-23,38230.33,39249.93,37036.79,37250.01,43560.732
785,BTC/USDT,2022-02-24,37250.02,39843.0,34322.28,38327.21,120476.29458
786,BTC/USDT,2022-02-25,38328.68,39683.53,38014.37,39219.17,56574.57125
787,BTC/USDT,2022-02-26,39219.16,40348.45,38573.18,39116.72,29361.2568
788,BTC/USDT,2022-02-27,39116.73,39855.7,37000.0,37699.07,46229.44719
789,BTC/USDT,2022-02-28,37699.08,44225.84,37450.17,43160.0,73945.63858
790,BTC/USDT,2022-03-01,43160.0,44949.0,42809.98,44421.2,61743.09873
791,BTC/USDT,2022-03-02,44421.2,45400.0,43334.09,43892.98,57782.65081
792,BTC/USDT,2022-03-03,43892.99,44101.12,41832.28,42454.0,50940.61021
793,BTC/USDT,2022-03-04,42454.0,42527.3,38550.0,39148.66,61964.68498
794,BTC/USDT,2022-03-05,39148.65,39613.24,38407.59,39397.96,30363.13341
795,BTC/USDT,2022-03-06,39397.97,39693.87,38088.57,38420.81,39677.26158
796,BTC/USDT,2022-03-07,38420.8,39547.57,37155.0,37988.0,63941.20316
797,BTC/USDT,2022-03-08,37988.01,39362.08,37867.65,38730.63,55528.43367
798,BTC/USDT,2022-03-09,38730.63,42594.06,38656.45,41941.71,67392.58799
799,BTC/USDT,2022-03-10,41941.7,42039.63,38539.73,39422.0,71950.25677
800,BTC/USDT,2022-03-11,39422.01,40236.26,38223.6,38729.57,59018.7642
801,BTC/USDT,2022-03-12,38729.57,39486.71,38660.52,38807.36,24034.36432
802,BTC/USDT,2022-03-13,38807.35,39310.0,37578.51,37777.34,32791.82359
803,BTC/USDT,2022-03-14,37777.35,39947.12,37555.0,39671.37,46945.45375
804,BTC/USDT,2022-03-15,39671.37,39887.61,38098.33,39280.33,46015.54926
805,BTC/USDT,2022-03-16,39280.33,41718.0,38828.48,41114.0,88120.76167
806,BTC/USDT,2022-03-17,41114.01,41478.82,40500.0,40917.9,37189.38087
807,BTC/USDT,2022-03-18,40917.89,42325.02,40135.04,41757.51,45408.00969
808,BTC/USDT,2022-03-19,41757.51,42400.0,41499.29,42201.13,29067.18108
809,BTC/USDT,2022-03-20,42201.13,42296.26,40911.0,41262.11,30653.33468
810,BTC/USDT,2022-03-21,41262.11,41544.22,40467.94,41002.25,39426.24877
811,BTC/USDT,2022-03-22,41002.26,43361.0,40875.51,42364.13,59454.94294
812,BTC/USDT,2022-03-23,42364.13,43025.96,41751.47,42882.76,40828.87039
813,BTC/USDT,2022-03-24,42882.76,44220.89,42560.46,43991.46,56195.12374
814,BTC/USDT,2022-03-25,43991.46,45094.14,43579.0,44313.16,54614.43648
815,BTC/USDT,2022-03-26,44313.16,44792.99,44071.97,44511.27,23041.61741
816,BTC/USDT,2022-03-27,44511.27,46999.0,44421.46,46827.76,41874.91071
817,BTC/USDT,2022-03-28,46827.76,48189.84,46663.56,47122.21,58949.2614
818,BTC/USDT,2022-03-29,47122.21,48096.47,46950.85,47434.8,36772.28457
819,BTC/USDT,2022-03-30,47434.79,47700.22,46445.42,47067.99,40947.2085
820,BTC/USDT,2022-03-31,47067.99,47600.0,45200.0,45510.34,48645.12667
821,BTC/USDT,2022-04-01,45510.35,46720.09,44200.0,46283.49,56271.06474
822,BTC/USDT,2022-04-02,46283.49,47213.0,45620.0,45811.0,37073.53582
823,BTC/USDT,2022-04-03,45810.99,47444.11,45530.92,46407.35,33394.67794
824,BTC/USDT,2022-04-04,46407.36,46890.71,45118.0,46580.51,44641.87514
825,BTC/USDT,2022-04-05,46580.5,47200.0,45353.81,45497.55,42192.74852
826,BTC/USDT,2022-04-06,45497.54,45507.14,43121.0,43170.47,60849.32936
827,BTC/USDT,2022-04-07,43170.47,43900.99,42727.35,43444.19,37396.54156
828,BTC/USDT,2022-04-08,43444.2,43970.62,42107.14,42252.01,42375.04203
829,BTC/USDT,2022-04-09,42252.02,42800.0,42125.48,42753.97,17891.66047
830,BTC/USDT,2022-04-10,42753.96,43410.3,41868.0,42158.85,22771.09403
831,BTC/USDT,2022-04-11,42158.85,42414.71,39200.0,39530.45,63560.44721
832,BTC/USDT,2022-04-12,39530.45,40214.1,39290.0,40206.96,18260.8796
